"Your video is currently being processed - you will be notified when it is ready to be viewed.";"Din video er ved at blive behandlet - du vil blive underrettet, når det er klar til at blive set."
"Video conversion failed. Please try uploading %1$sagain%2$s.";"Video konvertering mislykkedes. Prøv at uploade %1$sigen%2$s. "
"Video conversion failed. Video format is not supported by FFMPEG. Please try %1$sagain%2$s.";"Video konvertering mislykkedes. Video format understøttes ikke af (yourdomain). Prøv %1$sigen%2$s. "
"Video conversion failed. Audio files are not supported. Please try %1$sagain%2$s.";"Video konvertering mislykkedes. Lydfiler understøttes ikke. Prøv %1$sigen%2$s."
"Video conversion failed. You may be over the site upload limit.  Try %1$suploading%2$s a smaller file, or delete some files to free up space.";"Video konvertering mislykkedes. Du kan være over vores upload grænse. Prøv at %1$suploade%2$s en mindre fil, eller slette nogle filer for at frigøre plads."
"You do not have any videos.";"Du har ikke nogen videoer."
"The video you are looking for does not exist or has not been processed yet.";"Den video du leder efter findes ikke eller er ikke blevet behandlet endnu."
"you already rated";"du har allerede bedømt"
"please login to rate";"log ind for at bedømme"
"click to rate";"klik for at bedømme"
"Thanks for rating!";"Tak for din bedømmelse!"
"Posted";"Indsendt"
"Filed in";"Gemt i"
"Edit Video";"Rediger Video"
"Delete Video";"Slet Video"
"File Upload";"Fil Upload"
"This form is just an example fallback for the unobtrusive behaviour of FancyUpload. If this part is not changed, something must be wrong with your code.";"Denne form er blot et eksempel tilbagefald for iøjnefaldende opførsel af FancyUpload. Hvis denne del ikke ændres, må der være noget galt med din kode."
"Upload a Video:";"Upload en Video:"
"Click ""Add Video"" to select a video from your computer. After you have selected video, click on Post Video at the bottom to begin uploading the file. Please wait while your video is being uploaded. When your upload is finished, your video will be processed - you will be notified when it is ready to be viewed.";"Klik på ""Tilføj video"" for at vælge en video fra din computer. Når du har valgt video, skal du klikke på Indsend Video i bunden for at begynde at uploade filen. Vent venligst mens din video bliver uploadet. Når overførslen er færdig, vil din video blive behandlet - du vil blive underrettet, når det er klar til at blive set."
"Add Video";"Tilføj Video"
"Post Video";"Indsend Video"
"Be the first to %1$spost%2$s one!";"Vær den første til at %1$sindsende%2$s en!"
"Get started by %1$sposting%2$s a new video.";"Kom i gang ved %1$sindsende%2$s en ny video."
"Choose Source";"Vælg Kilde"
"My Computer";"Min Computer"
"Added";"Tilføjet"
"Are you sure you want to delete this video?";"Er du sikker på du vil slette denne video?"
"Video Title";"Video Titel"
"Video Description";"Video Beskrivelse"
"Please specify an video title";"Angiv en video titel"
"Tags (Keywords)";"Tags (søgeord)"
"Separate tags with commas.";"Adskil tags med kommaer."
"Category";"Kategori"
"Show this video in search results";"Vis denne video i søgninger"
"Everyone";"Enhver"
"Friends of Friends";"Venner af Venner"
"Friends Only";"Kun Venner"
"Just Me";"Kun Mig"
"Privacy";"Privatliv"
"Who may see this video?";"Hvem kan se denne video?"
"Comment Privacy";"Kommentar Privatliv"
"Who may post comments on this video?";"Hvem kan kommenterer på denne video?"
"Save Video";"Gem Video"
"Add New Video";"Tilføj Ny Video"
"Video Source";"Video Kilde"
"Video Link (URL)";"Video Link (URL) "
"Paste the web address of the video here.";"Indsæt webadressen på videoen her."
"Video has been deleted.";"Den valgte video er blevet slettet."
"Video posted successfully";"Den valgte video er indsendt."
"We could not find a video there - please check the URL and try again.";"Vi kunne ikke finde en video der - tjek URL'en og prøv igen."
"Invalid Data";"Ugyldig Data"
"Invalid Method";"Ugyldig Metode"
"Max file size limit exceeded (probably).";"Maksimal filstørrelse overskredet (sandsynligvis)."
"Invalid request method";"Ugyldig anmodnings metode"
"No file";"Ingen fil"
"Invalid Upload";"Ugyldig Upload"
"An error occurred.";"En fejl er opstået"
"Video doesn't exists or not authorized to delete";"Video eksisterer ikke eller har ikke autoriseret til at slette"
"To upload a video from your computer, please use our <a href=""%1$s"">full uploader</a>.";"For at uploade en video fra din computer, kan du bruge vores <a href=""%1$s""> fulde Uploader </ a>."
"Checking URL...";"Kontrollerer URL ..."
"If you would like to upload a new video, please <a href=""%1$s"">delete</a> an old one first.";"Hvis du ønsker at uploade en ny video, skal du <a href=""%1$s""> slette </ a> et gammelt først."
"Upload complete.";"Upload fuldført."
"An error occurred:";"En fejl opstod:"
"Save Changes";"Gem Ændringer"
"or";"eller "
"cancel";"fortryd"
"Share";"Del"
"Report";"Rapporter"
"Highest Rated";"Højest Bedømt"
"views";"visninger"
"Autos & Vehicles";"Biler & Køretøjer"
"Comedy";"Komedie"
"Education";"Uddannelse"
"Entertainment";"Underholdning"
"Film & Animation";"Film & Animation"
"Gaming";"Gaming "
"Howto & Style";"Hvordan-man-gør & Style"
"Music";"Musik"
"News & Politics";"Nyheder & Politik"
"Nonprofits & Activism";"Ingen fortjeneste & Aktivisme"
"People & Blogs";"Personer & Blogs"
"Pets & Animals";"Kæledyr & Dyr"
"Science & Technology";"Videnskab & Teknologi"
"Sports";"Sport"
"Travel & Events";"Rejser & Begivenheder"
"These settings affect all members in your community.";"These settings affect all members in your community. "
"Path to FFMPEG";"Path to FFMPEG "
"Please enter the full path to your FFMPEG installation. (Environment variables are not present)";"Please enter the full path to your FFMPEG installation. (Environment variables are not present) "
"Encoding Jobs";"Encoding Jobs "
"How many jobs do you want to allow to run at the same time?";"How many jobs do you want to allow to run at the same time? "
"Public Permissions";"Public Permissions "
"VIDEO_FORM_ADMIN_GLOBAL_VIDEOPERMISSION_DESCRIPTION";"Select whether or not you want to let the public (visitors that are not logged-in) to view the following sections of your social network. In some cases (such as Profiles, Blogs, and Albums), if you have given them the option, your users will be able to make their pages private even though you have made them publically viewable here. For more permissions settings, please visit the General Settings page. "
"Yes, the public can view videos unless they are made private.";"Yes, the public can view videos unless they are made private. "
"No, the public cannot view videos.";"No, the public cannot view videos. "
"VIDEO_FORM_ADMIN_LEVEL_DESCRIPTION";"These settings are applied on a per member level basis. Start by selecting the member level you want to modify, then adjust the settings for that level below. "
"Allow Viewing of Videos?";"Allow Viewing of Videos? "
"Do you want to let members view videos? If set to no, some other settings on this page may not apply.";"Do you want to let members view videos? If set to no, some other settings on this page may not apply. "
"No, do not allow videos to be viewed.";"No, do not allow videos to be viewed. "
"Yes, allow viewing of videos.";"Yes, allow viewing of videos. "
"Yes, allow viewing of all videos, even private ones.";"Yes, allow viewing of all videos, even private ones. "
"Allow Editing of Videos?";"Allow Editing of Videos? "
"Do you want to let members edit videos? If set to no, some other settings on this page may not apply.";"Do you want to let members edit videos? If set to no, some other settings on this page may not apply. "
"No, do not allow members to edit their videos.";"No, do not allow members to edit their videos. "
"Yes, allow members to edit their own videos.";"Yes, allow members to edit their own videos. "
"Yes, allow members to edit all videos.";"Yes, allow members to edit all videos."
"Allow Deletion of Videos?";"Allow Deletion of Videos? "
"Do you want to let members delete videos? If set to no, some other settings on this page may not apply.";"Do you want to let members delete videos? If set to no, some other settings on this page may not apply. "
"No, do not allow members to delete their videos.";"No, do not allow members to delete their videos. "
"Yes, allow members to delete their own videos.";"Yes, allow members to delete their own videos. "
"Yes, allow members to delete all videos.";"Yes, allow members to delete all videos. "
"Allow Creation of Videos?";"Allow Creation of Videos? "
"VIDEO_FORM_ADMIN_LEVEL_CREATE_DESCRIPTION";"Do you want to let members create videos? If set to no, some other settings on this page may not apply. This is useful if you want members to be able to view videos, but only want certain levels to be able to create videos. "
"Yes, allow creation of videos.";"Yes, allow creation of videos. "
"No, do not allow video to be created.";"No, do not allow video to be created. "
"Video Privacy";"Video Privacy "
"VIDEO_FORM_ADMIN_LEVEL_AUTHVIEW_DESCRIPTION";"Your members can choose from any of the options checked below when they decide who can see their video. If you do not check any options, everyone will be allowed to view videos. "
"Video Comment Options";"Video Comment Options "
"VIDEO_FORM_ADMIN_LEVEL_AUTHCOMMENT_DESCRIPTION";"Your members can choose from any of the options checked below when they decide who can post comments on their video. If you do not check any options, everyone will be allowed to post comments on media. "
"Maximum Allowed Videos";"Maximum Allowed Videos "
"Enter the maximum number of allowed videos. The field must contain an integer between 1 and 999.";"Enter the maximum number of allowed videos. The field must contain an integer between 1 and 999. "
"Are you sure that you want to delete this video? It will not be recoverable after being deleted.";"Er du sikker på at du vil slette denne video? Det vil ikke kunne bilve gendannet efter at være blevet slettet."
"VIDEO_VIEWS_SCRIPTS_ADMINMANAGE_INDEX_DESCRIPTION";"Er du sikker på at du vil slette denne video? Det vil ikke kunne erstattes efter at være blevet slettet."
"There are no videos posted by your members yet.";"There are no videos posted by your members yet. "
"Video Categories";"Video Categories "
"VIDEO_VIEWS_SCRIPTS_ADMINSETTINGS_CATEGORIES_DESCRIPTION";"If you want to allow your users to categorize their videos, create the categories below. This feature is useful if you want to list all your users' video that If you have no categories, your users will not be given the option of assigning a video category. "
"There are currently no categories.";"There are currently no categories. "
"Add New Category";"Add New Category "
"Delete Video Category?";"Delete Video Category? "
"Are you sure that you want to delete this category? It will not be recoverable after being deleted.";"Are you sure that you want to delete this category? It will not be recoverable after being deleted. "
"This page contains utilities to help configure and troubleshoot the video plugin.";"This page contains utilities to help configure and troubleshoot the video plugin. "
"Ffmpeg Version";"Ffmpeg Version "
"This will display the current installed version of ffmpeg.";"This will display the current installed version of ffmpeg. "
"Supported Video Formats";"Supported Video Formats "
"This will run and show the output of ""ffmpeg -formats"". Please see this page for more info.";"This will run and show the output of ""ffmpeg -formats"". Please see this page for more info. "
"We could not find a video there - please check the URL and try again. If you are sure that the URL is valid, please click %s to continue.";"Vi kunne ikke finde en video der - tjek URL'en og prøv igen. Hvis du er sikker på, at URL'en er gyldig, så klik %s for at fortsætte."
"YouTube";"YouTube "
"Vimeo";"Vimeo "
"Videos Plugin";"Videos Plugin "
"Manage Videos";"Manage Videos "
"Video Utilities";"Video Utilities "
"Allow Commenting on Videos?";"Allow Commenting on Videos? "
"Allow Video Upload?";"Allow Video Upload? "
"Do you want to let members of this level comment on videos?";"Do you want to let members of this level comment on videos? "
"Yes, allow members to comment on videos.";"Yes, allow members to comment on videos. "
"No, do not allow members to comment on videos.";"No, do not allow members to comment on videos."
"Do you want to let members to upload their own videos? If set to no, some other settings on this page may not apply.";"Do you want to let members to upload their own videos? If set to no, some other settings on this page may not apply. "
"Yes, allow video uploads.";"Yes, allow video uploads. "
"No, do not allow video uploads.";"No, do not allow video uploads. "
"Enter the maximum number of allowed videos. The field must contain an integer, use zero for unlimited.";"Enter the maximum number of allowed videos. The field must contain an integer, use zero for unlimited. "
"Popular Videos";"Popular Videos"
"Profile Videos";"Profile Videos "
"Recent Videos";"Recent Videos "
"%1$s's Videos";"%1$s's Videos "
"Video Main Navigation Menu";"Video Main Navigation Menu "
"{item:$subject} commented on {item:$owner}'s {item:$object:video}: {body:$body}";"{item:$subject} commented on {item:$owner}'s {item:$object:video}: {body:$body} "
"{item:$subject} posted a new video:";"{item:$subject} posted a new video: "
"ITEM_TYPE_VIDEO";"Videos "
"Your {item:$object:video} is ready to be viewed.";"Your {item:$object:video} is ready to be viewed. "
"Your {item:$object:video} has failed to process.";"Your {item:$object:video} has failed to process. "
"_EMAIL_NOTIFY_VIDEO_PROCESSED_TITLE";"Video Processed "
"_EMAIL_NOTIFY_VIDEO_PROCESSED_DESCRIPTION";"This email is sent to the owner of the video when the uploaded video has been processed and is ready for viewing. "
"_EMAIL_NOTIFY_VIDEO_PROCESSED_FAILED_TITLE";"Video Processing Failed "
"_EMAIL_NOTIFY_VIDEO_PROCESSED_FAILED_DESCRIPTION";"This email is sent to the owner of the video when the uploaded video has failed to be processed. "
"User";"Bruger"
"profile";"profil"
"Post";"Indsend"
"If you already have an account, please enter your details below. If you don't have one yet, please <a href='%s'>sign up</a> first.";"Hvis du allerede har en konto, skal du indtaste dine oplysninger nedenfor. Hvis du ikke har en endnu, skal du <a href='%s'> Oprette Konto </ a> først."
"<span><a href='%s'>Forgot Password?</a></span>";"<span><a href='%s'>Forgot Password?</a></span> "
"Block Member";"Bloker Bruger"
"Do you want to block this member?";"Vil du bloker denne bruger?"
"Cancel";"Fortryd"
"Unblock Member";"Fjern Blokering"
"Do you want to unblock this member?";"Vil du fjerne blokering af denne bruger?"
"Make Profile Photo";"Gør til Profil Billede"
"Do you want to make this photo your profile photo?";"Ønsker du at gøre dette billede til din profil billede?"
"Save";"Gem"
"Edit Member Profile";"Rediger Bruger Profil"
"%1$s's Profile";"%1$s's Profil"
"Current Photo";"Nuværende Billede"
"Choose New Photo";"Vælg Ny Billede"
"Save Photo";"Gem Billede"
"Profile Photos";"Profil Billeder"
"Remove Photo";"Fjern Billede"
"remove photo";"fjern billede"
"Do you want to remove your profile photo?  Doing so will set your photo back to the default photo.";"Ønsker du at fjerne din profil billede? Ved at gøre dette, bruger du vores standard billede."
"Profile Style";"Profil Stil"
"Add your own CSS code above to give your profile a more personalized look.";"Tilføj din egen CSS kode ovenfor for at give din profil et mere personligt look."
"Save Styles";"Gem Stil"
"Add Friend";"Tilføj Ven"
"Would you like to add this member as a friend?";"Vil du tilføje denne bruger som en ven?"
"Cancel Friend Request";"Fortryd Ven Anmodning"
"Do you want to cancel your friend request?";"Vil du fortryde din ven anmodning?"
"Cancel Request";"Fortryd Anmodning"
"Confirm Friend";"Godkend Ven"
"Would you like to confirm this member as a friend?";"Vil du gerne godkende denne bruger som en ven?"
"Reject Friend";"Afvis Ven"
"Would you like to reject this member as a friend?";"Vil du gerne afvise denne bruger som en ven?"
"Remove Friend";"Fjern Ven"
"Are you sure you want to remove this member as a friend?";"Er du sikker på du vil fjerne denne bruger som en ven?"
"Delete Account";"Slet Konto"
"Are you sure you want to delete your account? Any content you've uploaded in the past will be permanently deleted. You will be immediately signed out and will no longer be able to sign in with this account.";"Er du sikker på du vil slette din konto? Ethvert indhold, du har uploadet i tiden vil blive slettet permanent. Du vil straks blive logget ud, og du vil ikke længere være i stand til at logge ind med denne konto."
"Yes, Delete My Account";"Ja, Slet Min Konto"
"This is the last super admin account. Please reconsider before deleting this account.";"Dette er den sidste super admin konto. Venligst tænk over det før du sletter denne konto."
"My Settings";"Mine Indstillinger"
"General";"Generelt"
"Notifications";"Notifikationer"
"General Settings";"Generelle Indstillinger"
"Notification Settings";"Notifikationes Indstillinger"
"Email Address";"Email Adresse"
"Please enter a valid email address.";"Indtast en gyldig email adresse."
"Someone has already registered this email address, please use another one.";"Nogen har allerede registreret med denne email adresse, brug en anden."
"Profile Address";"Profil Adresse"
"Please enter a valid profile address.";"Angiv en gyldig profil adresse."
"Someone has already picked this profile address, please use another one.";"Nogen har allerede valgt denne profil adresse, skal du bruge en anden."
"Profile addresses must start with a letter.";"Profil adresser skal starte med et bogstav."
"Profile addresses must be alphanumeric.";"Profil adresser skal være alfanumerisk."
"Account Type";"Konto Type"
"Timezone";"Tidszone"
"Locale";"Landestandard"
"Dates, times, and other settings will be displayed using this locale setting.";"Datoer, klokkeslæt og andre indstillinger vil blive vist med denne lokale indstilling."
"Email Alerts";"Email Påmindelser"
"Which of the these do you want to receive email alerts about?";"Hvilke af disse vil du modtage email påmindelser om?"
"Join Network";"Tilmeld dig Network"
"Change Password";"Ændre Adgangskode"
"Old Password";"Gammel Adgangskode"
"New Password";"Ny Adgangskode"
"Passwords must be at least 6 characters in length.";"Adgangskoder skal være mindst 6 tegn i længden."
"New Password (again)";"Ny Adgangskode (igen)"
"Enter your password again for confirmation.";"Indtast din adgangskode igen for at bekræfte."
"Privacy Settings";"Privatliv Indstillinger"
"Blocked Members";"Blokerede Brugere"
"Adding a person to your block list makes your profile (and all of your other content) unviewable to them. Any connections you have to the blocked person will be canceled. To add someone to your block list, visit that person's profile page.";"Ved at tilføje en person til din blokerings liste gør din profil (og alt dit andet indhold) usynlig for dem. Alle tilslutninger du har til den blokerede person vil blive annulleret. For at tilføje en person til din Blokerings Liste, kan du besøge den pågældende persons profil."
"Do not display me in searches, browsing members, or the ""Online Members"" list.";"Vis mig ikke i søgninger, Brugere, eller ""Online Brugere"" listen."
"Profile Privacy";"Profil Privatliv"
"Who can view your profile?";"Hvem kan se din profil?"
"Profile Posting Privacy";"Profil Væg Privatliv"
"Who can post on your profile?";"Hvem kan skrive i din profil?"
"Only Me";"Kun Mig"
"Only My Friends";"Kun Mine Venner"
"Only My Networks";"Kun Mine Netværk"
"Friends & Networks";"Venner & Netværk"
"All Members";"Alle Brugere"
"Recent Activity Privacy";"Seneste Aktivitet Privatliv"
"Which of the following things do you want to have published about you in the recent activity feed? Note that changing this setting will only affect future news feed items.";"Hvilke af følgende ting har du lyst til har offentliggjort om dig i den seneste aktivitet væg? Bemærk, ved at ændre denne indstilling vil kun påvirke fremtidige opslag på væg."
"Create Account";"Opret Konto"
"You will use your email address to login.";"Du skal bruge din Email Adresse for at logge ind."
"Password";"Adgangskode"
"Please enter a valid password.";"Skriv en gyldig adgangskode"
"Password Again";"Adgangskode Igen"
"Please make sure the ""password"" and ""password again"" fields match.";"Sørg for ""adgangskode"" og ""adgangskode igen"" er ens."
"Password did not match";"Adgangskoder er ikke ens"
"Language";"Sprog"
"Continue";"Fortsæt"
"Member Sign In";"Bruger Log Ind"
"Remember Me";"Husk Mig"
"Human Verification";"Menneskelig Verifikation"
"Please validate that you are not a robot by typing in the letters and numbers in this image:";"Vær validere, at du ikke er en robot ved at skrive de bogstaver og tal i dette billede:"
"Login";"Log Ind"
"Edit My Profile";"Rediger Min Profil"
"Personal Info";"Personlig Info"
"Edit My Photo";"Rediger Mit Billede"
"clear";"ryd"
"add to list";"tilføj til liste"
"Choose Friend List";"Vælg Ven Liste"
"New list...";"Ny liste..."
"%s friend request";"%s ven anmodning";"%s ven anmodninger"
"%1$s has sent you a friend request.";"%1$s har sendt dig en ven anmodning."
"ignore request";"ignorere anmodning"
"Browse Members";"Gennemse Brugere"
"%s member found.";"%s bruger fundet. ";"%s brugere fundet. "
"Loading...";"Loading... "
"View More";"Vis Mere"
"Post something...";"Begynd at skrive..."
"Post Something...";"Begynd at skrive..."
"Missing heading";"Mangler overskrift"
"Member Info";"Bruger Info"
"Member Type:";"Konto Type"
"This profile is private - only friends of this member may view it.";"Denne profil er privat - kun venner af dette medlem kan se det."
"Settings were successfully saved.";"Indstillingerne blev gemt."
"My Networks";"Mine Netværk"
"You belong to %s network.";"Du tilhører %s netværk";"Du tilhører %s netværker"
"%s member.";"%s bruger. ";"%s brugere. "
"Leave Network";"Forlad Netværk"
"To add a new network, begin typing its name below.";"Hvis du vil tilføje et nyt netværk, begynde at skrive navnet nedenfor."
"We now";"Vi nu"
"yourname";"ditnavn"
"Signup complete!";"Konto Oprettelse gennemført!"
"skip";"spring over"
"Edit Thumbnail";"Rediger Miniature"
"Apply Changes";"Anvend ændringer"
"Hi %1$s!";"Hej %1$s! "
"Lists:";"Lister"
"Mutual Friends";"Fælles Venner"
"Profile Views:";"Profil Visninger:"
"Friends:";"Venner:"
"Last Update:";"Sidste Aktivitet:"
"Joined:";"Konto Oprettet:"
"%1$s view";"%1$s visning ";"%1$s visninger"
"%s friend";"%s ven";"%s venner"
"You are already signed in.";"Du er allerede logget ind."
"No record of a member with that email was found.";"Ingen registrering af bruger med denne email blev fundet."
"Invalid credentials";"Ugyldige Oplysninger"
"Invalid credentials supplied";"De oplysninger, du har leveret, er ugyldige. Tjek venligst din email og adgangskode, og prøv igen."
"You are already logged out.";"Du er allerede logget ud."
"Another member has already associated with that facebook account";"En anden bruger har allerede forbindelse med den facebook-konto"
"Login successful";"Log ind succes"
"You are now logged out.";"Du er nu logget ud."
"No member specified";"Ingen bruger specificeret."
"No action taken";"Intet er foretaget"
"Invalid data";"Ugyldig Data"
"An error has occurred.";"En fejl er opstået."
"Member unblocked";"Blokering af bruger fjernet"
"Member blocked";"Bruger er blokeret"
"The uploaded file is not supported or is corrupt.";"Den uploadede fil er ikke understøttet eller er beskadiget."
"Set as profile photo";"Dit profilbillede er blevet ændret."
"Your changes have been saved.";"Dine ændringer er blevet gemt."
"Missing list/not authorized";"Manglende liste/ingen tilladelse"
"Already in list";"Allerede i listen"
"Member added to list.";"Bruger tilføjet til liste"
"Already not in list";"Allerede ikke i listen"
"Member removed from list.";"Bruger fjernet fra liste."
"List deleted";"Liste slettet"
"You cannot befriend yourself.";"Du kan ikke være ven med dig selv."
"You are already friends with this member.";"Du er allerede ved med denne bruger."
"Friendship request was not sent because you blocked this member.";"Ven anmodning blev ikke sendt, fordi du har blokeret denne bruger."
"Your friend request has been sent.";"din ven anmodning er blevet sendt"
"Your friend request has been cancelled.";"Din ven anmodning er blevet annulleret. "
"You are now friends with %1$s";"Du er nu ven med %1$s "
"You ignored a friend request from %1$s";"Du ignorerede en ven anmodning fra %1$s "
"This person has been removed from your friends.";"Denne person er blevet fjernet fra dine venner."
"Settings saved.";"Indstillinger gemt."
"Passwords did not match";"Adgangskode er ikke ens"
"Old password did not match";"Gammel Adgangskode er ikke ens"
"Network not found";"Netværk blev ikke fundet"
"Invalid param count";"Ugyldig param tæller"
"Invalid param value";"Ugyldig param værdi"
"ADMIN_SIGNUP_STEP_USER_PLUGIN_SIGNUP_ACCOUNT";"Opret Konto"
"ADMIN_SIGNUP_STEP_USER_PLUGIN_SIGNUP_FIELDS";"Opret Profil"
"ADMIN_SIGNUP_STEP_USER_PLUGIN_SIGNUP_PHOTO";"Tilføj Dit Billede"
"ADMIN_SIGNUP_STEP_USER_PLUGIN_SIGNUP_INVITE";"Invitere Dine Venner"
"USER_ADMIN_SETTINGS_FACEBOOK_DESCRIPTION";"You can now integrate SocialEngine to Facebook. To do so, create an Application through the <a href=""%1$s"" target=""_blank"">Facebook Developers</a> page. "
"USER_ADMIN_SETTINGS_TWITTER_DESCRIPTION";"You can now integrate SocialEngine to Twitter. To do so, create an Application through the <a href=""%1$s"" target=""_blank"">Twitter Developers</a> page. You will need to select ""Read & Write"" in order to allow posting to Twitter. Please use the following Callback URL: %2$s "
"I have read and agree to the <a target=""_blank"" href=""%s/help/terms"">terms of service</a>.";"Jeg har læst og accepterer <a target=""_blank"" href=""%s/help/terms""> servicevilkår </ a>."
"Terms of Service";"Servicevilkår"
"You must agree to the terms of service to continue.";"Du skal acceptere servicevilkårene for at fortsætte."
"This will be the end of your profile link, for example: <br /> <span id=""profile_address"">http://%s</span>";"Dette vil være enden på din profil link, for eksempel: <br /> <span id=""profile_address"">http://%s</span> "
"You are now friends with %s";"Du er nu venner med %s "
"You ignored %s's request to follow you";"Du ignorerede %s's andmodning for at følge dig"
"You ignored a friend request from %s";"Du ignorerede en ven anmodning fra %s"
"You are now following this member.";"Du følger nu denne bruger."
"You are now friends with this member.";"Du er nu venner med denne bruger."
"Delete User";"Delete User "
"Are you sure you want to delete this user?";"Are you sure you want to delete this user? "
"Remove User";"Remove User "
"Edit Member";"Edit Member "
"You can change the details of this member's account here.";"You can change the details of this member's account here. "
"Enabled?";"Enabled? "
"Verified?";"Verified? "
"Approved";"Approved "
"Not Approved";"Not Approved "
"Search";"Søg"
"Friendship Settings";"Friendship Settings "
"USER_FORM_ADMIN_SETTINGS_FRIENDS_DESCRIPTION";"Facilitating relationships between members is essential to building a successful social network. There are several different types of connections that can exist between members. Use this page to determine how members will associate with each other. Note that although we refer to these relationships as ""friendships"" in this control panel, you should use a word that best fits with your social network's theme. For example, if you are running a business-oriented social network, you may want to change this word to ""connections"". "
"Who Can Become Friends";"Who Can Become Friends "
"USER_FORM_ADMIN_SETTINGS_ELIGIBLE_DESCRIPTION";"Who can members invite to become their friends? Note that if you select ""nobody"", none of the other settings on this page will apply. "
"Only members in their networks";"Only members in their networks "
"Nobody";"Nobody "
"Friendship Direction";"Friendship Direction "
"USER_FORM_ADMIN_SETTINGS_DIRECTION_DESCRIPTION";"Your social network can allow either one-way or two-way friendships. The default setting is two-way friendships as this is typical for most social networks. One-way friendships mean that when MemberA adds MemberB, MemberB will appear on MemberA's friend list but NOT the reverse. "
"Two-way Friendships";"Two-way Friendships "
"One-way Friendships";"One-way Friendships "
"Friendship Verification";"Friendship Verification "
"USER_FORM_ADMIN_SETTINGS_VERIFICATION_DESCRIPTION";"Your social network can allow either verified or unverified friendship requests. The default setting is verified friendship requests as this is typical for most social networks. Unverified friendship requests mean that when MemberA adds MemberB as a friend, MemberA and MemberB will immediately become friends without any confirmation. "
"Verified Friendships";"Verified Friendships "
"Unverified Friendships";"Unverified Friendships "
"Friend Lists";"Friend Lists "
"USER_FORM_ADMIN_SETTINGS_LISTS_DESCRIPTION";"Using friend lists, your members can organize their friends under various labels that they create. They can then use these lists to send messages to multiple friends and customize their privacy settings."
"Yes, users can group their friends into lists";"Yes, users can group their friends into lists "
"No, do not allow friend lists";"No, do not allow friend lists "
"Specify what privacy options will be available to members in this level.";"Specify what privacy options will be available to members in this level. "
"Allow Blocking?";"Allow Blocking? "
"USER_FORM_ADMIN_SETTINGS_LEVEL_BLOCK_DESCRIPTION";"If set to ""yes"", members can block other members from sending them private messages, requesting their friendship, and viewing their profile. This helps fight spam and network abuse. "
"Search Privacy Options";"Search Privacy Options "
"USER_FORM_ADMIN_SETTINGS_LEVEL_SEARCH_DESCRIPTION";"If set to ""yes"", members will be able to exclude themselves from search results and the lists of members on the homepage (such as Recent Signups). Otherwise, all members will be included in search results. "
"Profile Viewing Options";"Profile Viewing Options "
"USER_FORM_ADMIN_SETTINGS_LEVEL_AUTHVIEW_DESCRIPTION";"Your members can choose from any of the options checked below when they decide who can see their profile. If you do not check any options, everyone will be allowed to view profiles. "
"Profile Commenting Options";"Profile Commenting Options "
"USER_FORM_ADMIN_SETTINGS_LEVEL_AUTHCOMMENT_DESCRIPTION";"Your members can choose from any of the options checked below when they decide who can post comments on their profile. If you do not check any options, everyone will be allowed to post comments on profiles. "
"Allow status messages?";"Allow status messages? "
